package,module,source,output,reference,generic_before,generic_after,renamed_symbols,syntax_ok,bytecode_equal,encoding_ok,newline_ok,mode
mir264,mir2.scenes.main.panel.chat,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.chat,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.chat.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.chat.lua,4,0,2,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.diy,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.diy,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.diy.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.diy.lua,548,0,132,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.diySave,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.diySave,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.diySave.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.diySave.lua,179,0,44,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.driftMsg,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.driftMsg,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.driftMsg.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.driftMsg.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.dynamicPanel,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.dynamicPanel,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.dynamicPanel.lua,,255,0,58,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.equip,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.equip,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.equip.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.equip.lua,1093,0,202,True,True,True,True,scoped-readable+method-sugar
mir264,mir2.scenes.main.panel.equipOther,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.equipOther,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.equipOther.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.equipOther.lua,408,0,67,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.equipPc,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.equipPc,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.equipPc.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.equipPc.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.fusion,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.fusion,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.fusion.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.fusion.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.heroBag,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.heroBag,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.heroBag.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.heroBag.lua,208,0,39,True,True,True,True,function-local-readable+method-sugar
